,CIBR,DIA,DJD,DJP,DVY,FDLO,FDN,FNGU,FTXO,IBB,IDU,IEO,IJH,IJJ,IJK,IJR,IJS,IJT,ITB,ITOT,IUSG,IVE,IWB,IWM,IWV,IYE,IYF,IYJ,IYR,IYT,IYW,IYY,KBWB,OEF,ONEQ,PNQI,QQQ,QTEC,QYLD,ROBT,RPG,RPV,SLYG,SLYV,SLY,SOXX,SPY,SVXY,XTN
Basic Materials ,0.0,5.08,0.0,0.0,3.04,1.66,0.0,0.0,0.0,0.0,0.0,0.34,4.74,6.77,2.77,3.72,4.29,3.18,8.38,2.03,0.58,3.11,1.98,3.98,2.07,0.0,0.0,5.01,0.0,0.0,0.0,1.98,0.0,0.71,0.94,0.0,1.42,0.0,1.42,0.0,0.0,6.95,3.18,4.27,4.85,0.0,1.75,0.0,0.0
Communication Services ,0.0,2.2,12.37,0.0,5.92,9.17,33.59,31.9,0.0,0.0,0.0,0.0,1.35,1.45,1.24,2.66,2.96,2.38,0.0,8.85,14.01,3.94,9.41,2.1,9.09,0.0,0.0,0.0,1.17,0.0,9.37,9.13,0.0,12.98,15.58,34.48,15.86,7.31,15.87,5.47,4.16,5.58,2.38,2.96,2.53,0.0,9.45,0.0,0.0
Consumer Cyclical ,0.0,13.97,11.22,0.0,9.42,10.84,22.7,9.81,0.0,0.0,0.0,0.0,14.18,13.18,15.15,14.52,16.26,12.86,71.62,10.77,12.34,9.11,10.88,9.34,10.82,0.0,0.0,1.97,0.0,0.0,0.06,10.78,0.0,11.47,14.52,26.03,13.6,2.76,13.59,10.43,21.73,15.36,12.87,16.24,13.81,0.0,10.68,0.0,0.0
Consumer Defensive ,0.0,4.82,10.53,0.0,10.12,5.62,0.0,0.0,0.0,0.0,0.0,0.0,4.54,5.03,4.07,4.51,4.31,4.7,0.01,5.54,3.8,8.02,5.66,4.04,5.59,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,6.72,3.56,0.0,5.99,0.0,5.99,1.75,0.61,15.0,4.7,4.27,5.75,0.0,5.87,0.0,0.0
Energy ,0.0,2.22,8.28,0.0,4.57,3.28,0.0,0.0,0.0,0.0,0.49,99.66,4.78,6.46,3.13,4.44,4.15,4.7,0.0,3.4,0.84,5.99,3.42,4.77,3.48,98.76,0.0,0.0,0.0,0.0,0.0,3.35,0.0,2.51,0.63,0.0,0.58,0.0,0.58,1.55,4.2,9.18,4.69,4.15,4.19,0.0,3.3,0.0,0.0
Financial Services ,0.0,25.37,16.5,0.0,27.64,13.67,3.49,0.0,100.0,0.0,0.0,0.0,17.44,19.35,15.59,17.75,20.7,14.97,0.02,14.35,12.68,15.64,14.23,17.88,14.39,0.0,98.97,20.51,0.0,0.0,0.02,14.22,100.0,13.34,3.78,3.18,0.46,0.0,0.46,1.74,12.11,16.99,14.97,20.73,14.21,0.0,14.05,0.0,0.0
Healthcare ,0.0,14.59,14.46,0.0,3.55,10.64,1.53,0.0,0.0,100.0,0.0,0.0,9.39,7.29,11.44,10.71,7.59,13.65,0.02,10.88,6.64,15.37,10.71,16.37,10.96,0.0,0.0,0.53,0.0,0.0,0.0,10.65,0.0,9.98,6.0,0.06,5.67,0.0,5.66,6.34,5.02,19.62,13.66,7.59,11.14,0.0,10.78,0.0,0.0
Industrials ,8.0,12.43,10.27,0.0,1.95,7.92,2.25,0.0,0.0,0.0,11.11,0.0,20.06,15.09,24.92,17.8,15.04,20.41,18.21,8.41,7.7,7.99,8.1,16.19,8.46,0.0,0.01,57.69,0.0,80.29,0.39,8.06,0.0,4.46,3.45,0.03,3.56,0.0,3.55,19.21,20.18,4.01,20.41,15.02,17.66,0.0,7.33,0.0,93.89
Real Estate ,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,7.75,10.73,4.84,9.49,10.82,8.26,1.72,2.71,1.48,3.16,2.53,7.43,2.75,0.0,0.55,0.0,98.83,0.0,0.0,2.45,0.0,0.44,0.82,0.88,0.2,0.0,0.2,0.0,1.95,1.15,8.26,10.92,8.2,0.0,2.19,0.0,0.0
Technology ,92.0,19.32,16.37,0.0,4.06,32.46,36.44,58.3,0.0,0.0,0.0,0.0,13.18,9.73,16.55,12.64,11.18,14.01,0.03,30.6,38.56,23.89,30.63,15.04,29.94,1.19,0.46,12.94,0.0,19.71,90.15,31.29,0.0,36.44,49.81,35.33,51.27,89.93,51.28,53.52,24.89,2.46,14.01,11.16,15.28,100.0,32.03,0.0,6.11
Utilities ,0.0,0.0,0.0,0.0,29.73,2.35,0.0,0.0,0.0,0.0,88.4,0.0,2.59,4.94,0.3,1.77,2.7,0.88,0.0,2.46,1.36,3.77,2.45,2.86,2.46,0.04,0.0,1.34,0.0,0.0,0.0,2.49,0.0,0.95,0.91,0.0,1.41,0.0,1.41,0.0,5.15,3.7,0.88,2.7,2.37,0.0,2.57,0.0,0.0
